#Data tag : online , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(/ub),recorded(/ub),avgpu,source
257490:4420,1:1,09/25/15 18:55:00,STABLE BEAMS,6500,59085.017,57661.731,13.8,PXL
257490:4420,2:2,09/25/15 18:55:23,STABLE BEAMS,6500,59436.930,57974.338,13.9,PXL
257490:4420,5:5,09/25/15 18:56:33,STABLE BEAMS,6500,59376.061,57950.702,13.8,PXL
257490:4420,6:6,09/25/15 18:56:56,STABLE BEAMS,6500,59314.341,57872.797,13.8,PXL
257490:4420,7:7,09/25/15 18:57:20,STABLE BEAMS,6500,59285.958,57832.155,13.8,PXL
257490:4420,8:8,09/25/15 18:57:43,STABLE BEAMS,6500,58659.679,57214.976,13.7,PXL
257490:4420,9:9,09/25/15 18:58:06,STABLE BEAMS,6500,59308.390,57827.634,13.8,PXL
257490:4420,10:10,09/25/15 18:58:30,STABLE BEAMS,6500,59490.484,58064.709,13.9,PXL
257490:4420,11:11,09/25/15 18:58:53,STABLE BEAMS,6500,59586.466,58090.543,13.9,PXL
257490:4420,12:12,09/25/15 18:59:16,STABLE BEAMS,6500,59715.621,58254.779,13.9,PXL
257490:4420,13:13,09/25/15 18:59:40,STABLE BEAMS,6500,58938.591,57482.237,13.7,PXL
257490:4420,14:14,09/25/15 19:00:03,STABLE BEAMS,6500,58967.269,57565.108,13.7,PXL
257490:4420,16:16,09/25/15 19:00:50,STABLE BEAMS,6500,59546.435,57990.378,13.9,PXL
257490:4420,17:17,09/25/15 19:01:13,STABLE BEAMS,6500,59064.910,57643.771,13.8,PXL
257490:4420,20:20,09/25/15 19:02:23,STABLE BEAMS,6500,59033.130,57601.393,13.8,PXL
257490:4420,25:25,09/25/15 19:04:19,STABLE BEAMS,6500,59270.913,57777.528,13.8,PXL
257490:4420,28:28,09/25/15 19:05:29,STABLE BEAMS,6500,59272.514,57777.242,13.8,PXL
257490:4420,30:30,09/25/15 19:06:16,STABLE BEAMS,6500,59113.035,57546.497,13.8,PXL
257490:4420,31:31,09/25/15 19:06:39,STABLE BEAMS,6500,59447.833,57940.699,13.9,PXL
257490:4420,32:32,09/25/15 19:07:03,STABLE BEAMS,6500,59545.070,57989.004,13.9,PXL
257490:4420,33:33,09/25/15 19:07:26,STABLE BEAMS,6500,58511.247,56993.515,13.6,PXL
257490:4420,34:34,09/25/15 19:07:49,STABLE BEAMS,6500,59665.562,58196.230,13.9,PXL
257490:4420,35:35,09/25/15 19:08:12,STABLE BEAMS,6500,58823.514,57292.361,13.7,PXL
257490:4420,37:37,09/25/15 19:08:59,STABLE BEAMS,6500,58568.054,57057.587,13.7,PXL
257490:4420,38:38,09/25/15 19:09:22,STABLE BEAMS,6500,58599.227,57089.628,13.7,PXL
257490:4420,40:40,09/25/15 19:10:09,STABLE BEAMS,6500,59310.611,57779.401,13.8,PXL
257490:4420,42:42,09/25/15 19:10:56,STABLE BEAMS,6500,58854.942,57270.962,13.7,PXL
257490:4420,43:43,09/25/15 19:11:19,STABLE BEAMS,6500,58949.677,57459.240,13.7,PXL
257490:4420,45:45,09/25/15 19:12:06,STABLE BEAMS,6500,58970.385,57483.824,13.7,PXL
257490:4420,47:47,09/25/15 19:12:52,STABLE BEAMS,6500,59183.312,57676.372,13.8,PXL
257490:4420,49:49,09/25/15 19:13:39,STABLE BEAMS,6500,59501.707,58059.771,13.9,PXL
257490:4420,50:50,09/25/15 19:14:02,STABLE BEAMS,6500,58798.599,57336.756,13.7,PXL
257490:4420,51:51,09/25/15 19:14:25,STABLE BEAMS,6500,58898.919,57454.223,13.7,PXL
257490:4420,52:52,09/25/15 19:14:49,STABLE BEAMS,6500,59266.608,57839.588,13.8,PXL
257490:4420,53:53,09/25/15 19:15:12,STABLE BEAMS,6500,58643.537,57217.683,13.7,PXL
257490:4420,55:55,09/25/15 19:15:59,STABLE BEAMS,6500,58922.711,57480.299,13.7,PXL
